Time (Sec);S6;S30;S39;S55;S52;S64;S63;S62;S1;S71;S41;S46;S70;S3;S4;S69;S60;S67;S66;S61;S68;S44;
0.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;19160.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;
0.018192;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;19160.0;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;9.9926784;
0.028192000000000002;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;19160.0;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;9.9774232;
0.031384;9.962780000000002;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;19160.0;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;9.962780000000002;9.962780000000002;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;9.955458400000003;
0.041384;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;19160.0;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;9.830891200000018;
0.051384;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;19160.0;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;9.830791200000018;
0.061384;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;19160.0;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;9.830691200000018;
0.071384;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;19160.0;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;9.830591200000018;
0.081384;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;19160.0;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;9.830491200000019;
0.09138399999999999;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;19160.0;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;9.830391200000019;
